인덱스번호,카페이름,url
0,투또톤토,"https://map.naver.com/p/search/건대입구 카페/place/1043191069?c=15.00,0,0,0,dh&placePath=/review"
1,엠케이갤러리스튜디오,"https://map.naver.com/p/search/건대입구 카페/place/910411471?c=15.00,0,0,0,dh&placePath=/review"
2,"멜티도나 메리고라운드카페,디저트","https://map.naver.com/p/search/건대입구 카페/place/1324139124?c=15.00,0,0,0,dh&placePath=/review"
3,카페 오캄,"https://map.naver.com/p/search/건대입구 카페/place/1959399064?c=15.00,0,0,0,dh&placePath=/review"
4,까치화방 성수낙낙점,"https://map.naver.com/p/search/건대입구 카페/place/1115306852?c=15.00,0,0,0,dh&placePath=/review"
5,메가MGC커피 건대스타점카페,"https://map.naver.com/p/search/건대입구 카페/place/1172665540?c=15.00,0,0,0,dh&placePath=/review"
6,블리스테이블 스타시티몰점,"https://map.naver.com/p/search/건대입구 카페/place/1385247985?c=15.00,0,0,0,dh&placePath=/review"
7,오소리 베이커리 어린이대공원 본점,"https://map.naver.com/p/search/건대입구 카페/place/1790543616?c=15.00,0,0,0,dh&placePath=/review"
8,읍천리382 건대입구역점,"https://map.naver.com/p/search/건대입구 카페/place/1543758149?c=15.00,0,0,0,dh&placePath=/review"
9,도우터 건대점,"https://map.naver.com/p/search/건대입구 카페/place/1256580169?c=15.00,0,0,0,dh&placePath=/review"
10,더이퀼리브리엄커피,"https://map.naver.com/p/search/건대입구 카페/place/1418441461?c=15.00,0,0,0,dh&placePath=/review"
11,"카페롱카페,디저트","https://map.naver.com/p/search/건대입구 카페/place/1084691809?c=15.00,0,0,0,dh&placePath=/review"
12,건대커피 랩,"https://map.naver.com/p/search/건대입구 카페/place/31143963?c=15.00,0,0,0,dh&placePath=/review"
13,환원당,"https://map.naver.com/p/search/건대입구 카페/place/1854582204?c=15.00,0,0,0,dh&placePath=/review"
14,케익다방 건대점,"https://map.naver.com/p/search/건대입구 카페/place/1266812675?c=15.00,0,0,0,dh&placePath=/review"
15,무드림 베이커리 카페 건대점,"https://map.naver.com/p/search/건대입구 카페/place/1399168482?c=15.00,0,0,0,dh&placePath=/review"
16,릴리베이커리,"https://map.naver.com/p/search/건대입구 카페/place/1126127714?c=15.00,0,0,0,dh&placePath=/review"
17,"해피니스디저트카페,디저트","https://map.naver.com/p/search/건대입구 카페/place/1086653842?c=15.00,0,0,0,dh&placePath=/review"
